2026-06-13 17:44:32 | INFO | application.py:517 | close | Closing file store: default
2026-06-13 17:44:32 | INFO | application.py:521 | close | Closing file watcher: default
2026-06-13 17:44:32 | INFO | base_file_watcher.py:100 | close | Stopped watching
2026-06-13 17:44:32 | INFO | application.py:529 | close | Closing embedding model: default
2026-06-13 17:44:32 | INFO | base_embedding_model.py:225 | _save_cache | Attempting to save cache, current size: 0
2026-06-13 17:44:32 | INFO | base_embedding_model.py:227 | _save_cache | Cache is empty, skipping save
2026-06-13 17:44:32 | INFO | application.py:536 | close | ReMe Application closed
2026-06-13 17:44:32 | INFO | application.py:517 | close | Closing file store: default
2026-06-13 17:44:32 | INFO | application.py:521 | close | Closing file watcher: default
2026-06-13 17:44:32 | INFO | base_file_watcher.py:100 | close | Stopped watching
2026-06-13 17:44:32 | INFO | application.py:529 | close | Closing embedding model: default
2026-06-13 17:44:32 | INFO | base_embedding_model.py:225 | _save_cache | Attempting to save cache, current size: 0
2026-06-13 17:44:32 | INFO | base_embedding_model.py:227 | _save_cache | Cache is empty, skipping save
2026-06-13 17:44:32 | INFO | application.py:536 | close | ReMe Application closed
